ID,Title,Year,Journal/Conference,Author,Keyword,Quality,Summary,Timestamp,Contributor,Link
13,Recommendations for Good Scientific Practice and the Consumers of VR-Technology,2016,TVCG,"Madary, Metzinger",multimedia/social influence,medium,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.?",2018/12/30/15/30/28,Sangho,"Madary, Metzinger - 2016 - Recommendations for Good Scientific Practice and the Consumers of VR-Technology"
14,Learning a Procedural Task Effectiveness of Multimedia Presentations,2000,IEEE ACCESS,"Michas, Berry",method/manual control,medium,"At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga.?",2018/12/30/13/30/28,Soyeon,"Michas, Berry - 2000 - Learning a Procedural Task Effectiveness of Multimedia Presentations"
15,SimSup's Loop A control theory approach to spacecraft operator training,2015,TVCG,"Owens, Crocker",old study/visual guidance/spatio-temporal model,low,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae.",2018/12/30/13/30/28,Soyeon,"Owens, Crocker - 2015 - SimSup's Loop A control theory approach to spacecraft operator training"
16,Perceived Realism of Virtual Environments Depends on Authenticity,1979,ISMAR 2015,Pell,multimedia/measurements,low,"But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness.",2018/12/30/13/30/28,Soyeon,Pell - 1979 - Perceived Realism of Virtual Environments Depends on Authenticity
17,MAINTAINING A HUMAN TOUCH IN THE DESIGN OF VIRTUAL PART-TASK TRAINERS ( VPPT ) LESSONS FROM COGNITIVE PSYCHOLOGY,2014,IEEE ACCESS,Piers Maclean,visuomotor/evaluation,low,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae.",2018/12/30/13/30/28,Soyeon,Piers Maclean - 2014 - MAINTAINING A HUMAN TOUCH IN THE DESIGN OF VIRTUAL PART-TASK TRAINERS ( VPPT ) LESSONS FROM COGNITIVE PSYCHOLOGY
18,Simulating video-assisted thoracoscopic lobectomy A virtual reality cognitive task simulation,2011,TVCG,Solomon et al.,method/presence,low,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae.",2018/12/30/13/30/28,Soyeon,Solomon et al. - 2011 - Simulating video-assisted thoracoscopic lobectomy A virtual reality cognitive task simulation
19,Part-Task Training for Tracking and Manual Control,Unknown,ISMAR 2015,"Wightman, D. C., & Lintern",multimedia,medium,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae.",2018/12/30/13/30/28,Soyeon,"Wightman, D. C., & Lintern - Unknown - Part-Task Training for Tracking and Manual Control"
20,Toward a deeper understanding of the role of interaction in information visualization(2),2007,TVCG,Yi et al.,virtual reality/spatio-temporal model,medium,"At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga.?",2018/12/31/13/30/28,Sua,Yi et al. - 2007 - Toward a deeper understanding of the role of interaction in information visualization(2)
21,The Transmutation of Perception Research of Attention and Visual Guidance in the Virtual Reality Context,2018,TVCG,Tian,multimedia,medium,"But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness.",2018/12/31/13/30/28,Sua,Tian - 2018 - The Transmutation of Perception Research of Attention and Visual Guidance in the Virtual Reality Context
22,Visual Guidance for Encountered Type Haptic Display A feasibility study,2017,ISMAR 2015,Lee et al.,fidelity,medium,"But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness.",2018/12/31/13/30/28,Sua,Lee et al. - 2017 - Visual Guidance for Encountered Type Haptic Display A feasibility study
23,Influence of visual perspective and feedback guidance for free throw training in virtual reality,2015,IEEE ACCESS,"Covaci, Olivier, Multon",fidelity/spatio-temporal model,medium,"At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga.?",2018/12/31/13/30/28,Sua,"Covaci, Olivier, Multon - 2015 - Influence of visual perspective and feedback guidance for free throw training in virtual reality"
24,Immersive training systems Virtual reality and education and training,1995,ISMAR 2015,Psotka,experiment,low,"At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga.?",2018/12/31/13/30/28,Sua,Psotka - 1995 - Immersive training systems Virtual reality and education and training
25,Advances in Human Factors in Simulation and Modeling,2019,TVCG,"Vasquez, Bendell, Talone",result/spatio-temporal model,low,"But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness.",2018/12/31/13/30/28,Sua,"Vasquez, Bendell, Talone - 2019 - Advances in Human Factors in Simulation and Modeling"
26,Visualising Spatio-Temporal Models with Virtual Reality From Fully Immersive Environments to Apps in St,2018,ISMAR 2015,"Castruccio, Genton, Sun",discussion,low,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae.",2018/12/31/13/30/28,Sangho,"Castruccio, Genton, Sun - 2018 - Visualising Spatio-Temporal Models with Virtual Reality From Fully Immersive Environments to Apps in St"
27,Towards a design space characterizing workflows that take advantage of immersive visualization,2017,ISMAR 2015,Vierjahn et al.,conclusion/immersiveness,low,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.?",2018/12/31/13/30/28,Sangho,Vierjahn et al. - 2017 - Towards a design space characterizing workflows that take advantage of immersive visualization
28,Various Approaches to a Human Preference Analysis in a Digital Signage Display Design,2015,IEEE ACCESS,Albergo et al.,old study/visual guidance/multimedia,high,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,   sunt in culpa qui officia deserunt mollit anim id est laborum",2019/01/12/15/30/28,Jinki,Albergo et al. - 2015 - Various Approaches to a Human Preference Analysis in a Digital Signage Display Design
29,Various Approaches to a Human Preference Analysis in a Digital Signage Display Design,2015,IEEE ACCESS,Albergo et al.,old study/visual guidance/multimedia,high,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,   sunt in culpa qui officia deserunt mollit anim id est laborum",2019/01/12/15/30/28,Jinki,Albergo et al. - 2015 - Various Approaches to a Human Preference Analysis in a Digital Signage Display Design
30,Various Approaches to a Human Preference Analysis in a Digital Signage Display Design,2015,IEEE ACCESS,Albergo et al.,old study/visual guidance/multimedia,high,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,   sunt in culpa qui officia deserunt mollit anim id est laborum",2019/01/12/15/30/28,Jinki,Albergo et al. - 2015 - Various Approaches to a Human Preference Analysis in a Digital Signage Display Design
31,Various Approaches to a Human Preference Analysis in a Digital Signage Display Design,2015,IEEE ACCESS,Albergo et al.,old study/visual guidance/multimedia,high,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,   sunt in culpa qui officia deserunt mollit anim id est laborum",2019/01/20/10/20/59,Jinki,Albergo et al. - 2015 - Various Approaches to a Human Preference Analysis in a Digital Signage Display Design
